trial,mean
1,1.000000
2,3.000000
3,3.333333
4,3.250000
5,3.200000
6,3.666667
7,3.285714
8,3.500000
9,3.333333
10,3.100000
11,3.181818
12,3.416667
13,3.538462
14,3.642857
15,3.733333
16,3.812500
17,3.823529
18,3.666667
19,3.789474
20,3.750000
21,3.761905
22,3.727273
23,3.652174
24,3.750000
25,3.800000
26,3.807692
27,3.777778
28,3.821429
29,3.827586
30,3.800000
31,3.774194
32,3.718750
33,3.636364
34,3.647059
35,3.714286
36,3.638889
37,3.702703
38,3.736842
39,3.692308
40,3.700000
41,3.634146
42,3.666667
43,3.697674
44,3.681818
45,3.622222
46,3.673913
47,3.659574
48,3.708333
49,3.734694
50,3.760000
51,3.784314
52,3.750000
53,3.735849
54,3.722222
55,3.709091
56,3.660714
57,3.666667
58,3.620690
59,3.644068
60,3.666667
61,3.704918
62,3.725806
63,3.714286
64,3.750000
65,3.738462
66,3.712121
67,3.746269
68,3.735294
69,3.695652
70,3.685714
71,3.704225
72,3.680556
73,3.671233
74,3.635135
75,3.653333
76,3.644737
77,3.623377
78,3.602564
79,3.607595
80,3.625000
81,3.654321
82,3.646341
83,3.614458
84,3.630952
85,3.635294
86,3.651163
87,3.620690
88,3.602273
89,3.617978
90,3.633333
91,3.626374
92,3.641304
93,3.666667
94,3.659574
95,3.684211
96,3.666667
97,3.649485
98,3.663265
99,3.666667
100,3.640000
101,3.653465
102,3.637255
103,3.650485
104,3.625000
105,3.638095
106,3.650943
107,3.663551
108,3.666667
109,3.660550
110,3.672727
111,3.657658
112,3.669643
113,3.672566
114,3.666667
115,3.669565
116,3.672414
117,3.649573
118,3.627119
119,3.613445
120,3.591667
121,3.586777
122,3.598361
123,3.601626
124,3.596774
125,3.616000
126,3.619048
127,3.598425
128,3.609375
129,3.612403
130,3.615385
131,3.618321
132,3.621212
133,3.601504
134,3.604478
135,3.614815
136,3.602941
137,3.605839
138,3.586957
139,3.582734
140,3.578571
141,3.595745
142,3.584507
143,3.573427
144,3.569444
145,3.586207
146,3.602740
147,3.585034
148,3.574324
149,3.583893
150,3.566667
151,3.582781
152,3.572368
153,3.588235
154,3.577922
155,3.574194
156,3.576923
157,3.560510
158,3.563291
159,3.566038
160,3.575000
161,3.590062
162,3.592593
163,3.588957
164,3.585366
165,3.581818
166,3.590361
167,3.580838
168,3.571429
169,3.568047
170,3.552941
171,3.538012
172,3.523256
173,3.531792
174,3.540230
175,3.548571
176,3.545455
177,3.553672
178,3.539326
179,3.553073
180,3.555556
181,3.569061
182,3.554945
183,3.551913
184,3.559783
185,3.556757
186,3.553763
